policy,scenario_id,seed,shield_enabled,success,collision,terminated,truncated,failure_type,episode_time,steps,path_length,path_length_ratio,minimum_clearance,mean_cross_track_error,max_cross_track_error,idle_time,angular_oscillation,total_abs_rotation,action_smoothness,shield_pass,shield_clamp,shield_stop,shield_interventions,unsafe_without_shield,shield_sustained_time,safety_cost,inference_ms,simulation_steps_per_second
lite_rule_baseline,S0,1000,False,1,0,1,0,,8.299999999999867,166,9.761245329380042,0.9761245329380042,0.6424999999999997,0.0,0.0,0.0,0,0.0,0.0004686947213485837,166,0,0,0,0,0.0,0.0,0.024571265089160802,1067.4740577436007
bc,S0,1000,False,1,0,1,0,,8.19999999999987,164,9.76176827778746,0.976176827778746,0.6424999992993637,0.03694966315503432,0.06382490030154386,0.0,0,0.13716597204838765,8.710504334885627e-05,164,0,0,0,0,0.0,0.0,0.06461535984981753,1031.3978900342283
ppo,S0,1000,False,1,0,1,0,,8.449999999999864,169,9.790379873980518,0.9790379873980518,0.6424999840595086,0.047553390140742634,0.05953682416966899,0.0,0,0.15212962974110264,2.657433651620522e-05,169,0,0,0,0,0.0,0.0,0.07450471599634527,1024.7915696709097
bc_dagger,S0,1000,False,1,0,1,0,,11.149999999999807,223,10.274569745248424,1.0274569745248425,0.642499976562566,0.7262998784077724,1.3485661354907328,0.0,2,1.555926409432431,3.538655073498376e-05,223,0,0,0,0,0.0,0.0,0.05981820183964039,1047.6383816097832
lite_rule_baseline,S0,1000,True,1,0,1,0,,8.299999999999867,166,9.761245329380042,0.9761245329380042,0.6424999999999997,0.0,0.0,0.0,0,0.0,0.0004686947213485837,166,0,0,0,0,0.0,0.0,0.023499506089839164,1097.4302691747926
bc,S0,1000,True,1,0,1,0,,8.19999999999987,164,9.76176827778746,0.976176827778746,0.6424999992993637,0.03694966315503432,0.06382490030154386,0.0,0,0.13716597204838765,8.710504334885627e-05,164,0,0,0,0,0.0,0.0,0.05959830490965254,1050.0351345603822
ppo,S0,1000,True,1,0,1,0,,8.449999999999864,169,9.790379873980518,0.9790379873980518,0.6424999840595086,0.047553390140742634,0.05953682416966899,0.0,0,0.15212962974110264,2.657433651620522e-05,169,0,0,0,0,0.0,0.0,0.07157939644296207,1029.7793104262569
bc_dagger,S0,1000,True,1,0,1,0,,11.149999999999807,223,10.274569745248424,1.0274569745248425,0.642499976562566,0.7262998784077724,1.3485661354907328,0.0,2,1.555926409432431,3.538655073498376e-05,223,0,0,0,0,0.0,0.0,0.05883966369997875,1047.0036562985267
lite_rule_baseline,S0,1001,False,1,0,1,0,,8.299999999999867,166,9.761245329380042,0.9761245329380042,0.6424999999999997,0.0,0.0,0.0,0,0.0,0.0004686947213485837,166,0,0,0,0,0.0,0.0,0.023552939736358653,1094.9311363540075
bc,S0,1001,False,1,0,1,0,,8.19999999999987,164,9.76176827778746,0.976176827778746,0.6424999992993637,0.03694966315503432,0.06382490030154386,0.0,0,0.13716597204838765,8.710504334885627e-05,164,0,0,0,0,0.0,0.0,0.058526695228487725,1051.4873474457063
ppo,S0,1001,False,1,0,1,0,,8.449999999999864,169,9.790379873980518,0.9790379873980518,0.6424999840595086,0.047553390140742634,0.05953682416966899,0.0,0,0.15212962974110264,2.657433651620522e-05,169,0,0,0,0,0.0,0.0,0.07126821905190948,1034.9388813799515
bc_dagger,S0,1001,False,1,0,1,0,,11.149999999999807,223,10.274569745248424,1.0274569745248425,0.642499976562566,0.7262998784077724,1.3485661354907328,0.0,2,1.555926409432431,3.538655073498376e-05,223,0,0,0,0,0.0,0.0,0.058876094183202776,1048.5620199083646
lite_rule_baseline,S0,1001,True,1,0,1,0,,8.299999999999867,166,9.761245329380042,0.9761245329380042,0.6424999999999997,0.0,0.0,0.0,0,0.0,0.0004686947213485837,166,0,0,0,0,0.0,0.0,0.023282620444310356,1102.0045775257881
bc,S0,1001,True,1,0,1,0,,8.19999999999987,164,9.76176827778746,0.976176827778746,0.6424999992993637,0.03694966315503432,0.06382490030154386,0.0,0,0.13716597204838765,8.710504334885627e-05,164,0,0,0,0,0.0,0.0,0.05872787197382067,1048.7911722549593
ppo,S0,1001,True,1,0,1,0,,8.449999999999864,169,9.790379873980518,0.9790379873980518,0.6424999840595086,0.047553390140742634,0.05953682416966899,0.0,0,0.15212962974110264,2.657433651620522e-05,169,0,0,0,0,0.0,0.0,0.0714650177542353,1040.2485906095237
bc_dagger,S0,1001,True,1,0,1,0,,11.149999999999807,223,10.274569745248424,1.0274569745248425,0.642499976562566,0.7262998784077724,1.3485661354907328,0.0,2,1.555926409432431,3.538655073498376e-05,223,0,0,0,0,0.0,0.0,0.05878359641045313,1050.023046124389
lite_rule_baseline,S1,1000,False,1,0,1,0,,9.199999999999848,184,10.098341490016947,0.9766931588556713,0.0541077302356775,0.021743939331250964,0.12799673317418922,0.0,1,1.9287784834461674,0.0026627960614860058,184,0,0,0,0,0.0,5.9041269277269235,0.023518788121572983,977.5618995237495
bc,S1,1000,False,1,0,1,0,,8.899999999999855,178,10.108500303271528,0.9776757007332311,0.052624704141387146,0.05495857705703331,0.12503735741782745,0.0,1,1.8656545468140389,0.0017426395788788795,178,0,0,0,0,0.0,5.089030203809914,0.06046957860030744,933.5376668997048
ppo,S1,1000,False,1,0,1,0,,9.14999999999985,183,10.16360335804951,0.9830051676250874,0.09710800094090066,0.061898751409294704,0.14381437210732345,0.0,1,2.189741798336617,0.002292080782353878,183,0,0,0,0,0.0,3.5152174869678876,0.07539228963999006,908.9409586711051
bc_dagger,S1,1000,False,0,0,0,1,TIMEOUT,18.000000000000014,360,17.367605516362552,1.6797631086554645,0.43376527689422895,1.6800099697017177,5.083548207213856,0.0,3,7.01138033317402,0.0003432339581195265,360,0,0,0,0,0.0,0.0,0.06325474723780644,916.6599111821195
lite_rule_baseline,S1,1000,True,1,0,1,0,,9.199999999999848,184,10.098341490016947,0.9766931588556713,0.0541077302356775,0.021743939331250964,0.12799673317418922,0.0,1,1.9287784834461674,0.0026627960614860058,184,0,0,0,0,0.0,5.9041269277269235,0.023852081599413752,970.8298193753757
bc,S1,1000,True,1,0,1,0,,8.899999999999855,178,10.108500303271528,0.9776757007332311,0.052624704141387146,0.05495857705703331,0.12503735741782745,0.0,1,1.8656545468140389,0.0017426395788788795,178,0,0,0,0,0.0,5.089030203809914,0.05976030897318707,936.3975185060127
ppo,S1,1000,True,1,0,1,0,,9.14999999999985,183,10.16360335804951,0.9830051676250874,0.09710800094090066,0.061898751409294704,0.14381437210732345,0.0,1,2.189741798336617,0.002292080782353878,183,0,0,0,0,0.0,3.5152174869678876,0.07190272673077708,928.4825319936429
bc_dagger,S1,1000,True,0,0,0,1,TIMEOUT,18.000000000000014,360,17.367605516362552,1.6797631086554645,0.43376527689422895,1.6800099697017177,5.083548207213856,0.0,3,7.01138033317402,0.0003432339581195265,360,0,0,0,0,0.0,0.0,0.058600333346071745,934.1256535245258
lite_rule_baseline,S1,1001,False,1,0,1,0,,9.199999999999848,184,10.098341490016947,0.9766931588556713,0.0541077302356775,0.021743939331250964,0.12799673317418922,0.0,1,1.9287784834461674,0.0026627960614860058,184,0,0,0,0,0.0,5.9041269277269235,0.023453820621516967,974.2948145463031
bc,S1,1001,False,1,0,1,0,,8.899999999999855,178,10.108500303271528,0.9776757007332311,0.052624704141387146,0.05495857705703331,0.12503735741782745,0.0,1,1.8656545468140389,0.0017426395788788795,178,0,0,0,0,0.0,5.089030203809914,0.05907986519815403,939.0459819273588
ppo,S1,1001,False,1,0,1,0,,9.14999999999985,183,10.16360335804951,0.9830051676250874,0.09710800094090066,0.061898751409294704,0.14381437210732345,0.0,1,2.189741798336617,0.002292080782353878,183,0,0,0,0,0.0,3.5152174869678876,0.07107016397918424,927.2370204929412
bc_dagger,S1,1001,False,0,0,0,1,TIMEOUT,18.000000000000014,360,17.367605516362552,1.6797631086554645,0.43376527689422895,1.6800099697017177,5.083548207213856,0.0,3,7.01138033317402,0.0003432339581195265,360,0,0,0,0,0.0,0.0,0.05851461945793643,934.5977381533409
lite_rule_baseline,S1,1001,True,1,0,1,0,,9.199999999999848,184,10.098341490016947,0.9766931588556713,0.0541077302356775,0.021743939331250964,0.12799673317418922,0.0,1,1.9287784834461674,0.0026627960614860058,184,0,0,0,0,0.0,5.9041269277269235,0.02354748366799512,976.3761647949399
bc,S1,1001,True,1,0,1,0,,8.899999999999855,178,10.108500303271528,0.9776757007332311,0.052624704141387146,0.05495857705703331,0.12503735741782745,0.0,1,1.8656545468140389,0.0017426395788788795,178,0,0,0,0,0.0,5.089030203809914,0.06214070791439768,924.0926662505104
ppo,S1,1001,True,1,0,1,0,,9.14999999999985,183,10.16360335804951,0.9830051676250874,0.09710800094090066,0.061898751409294704,0.14381437210732345,0.0,1,2.189741798336617,0.002292080782353878,183,0,0,0,0,0.0,3.5152174869678876,0.07649246446837295,912.2061770224801
bc_dagger,S1,1001,True,0,0,0,1,TIMEOUT,18.000000000000014,360,17.367605516362552,1.6797631086554645,0.43376527689422895,1.6800099697017177,5.083548207213856,0.0,3,7.01138033317402,0.0003432339581195265,360,0,0,0,0,0.0,0.0,0.06271300278765718,920.3910732477318
lite_rule_baseline,S2,1000,False,1,0,1,0,,8.299999999999867,166,9.761245329380042,0.9761245329380042,0.39,0.0,0.0,0.0,0,0.0,0.0004686947213485837,166,0,0,0,0,0.0,0.0,0.023613168612274717,882.3267543341323
bc,S2,1000,False,1,0,1,0,,8.299999999999867,166,9.79741401935165,0.9797414019351651,0.3598717616418442,0.016188570523218617,0.030128238358155812,0.0,0,0.22852335006173236,0.00019652003538794816,166,0,0,0,0,0.0,0.0,0.05864530727654732,855.1393128246793
ppo,S2,1000,False,1,0,1,0,,8.499999999999863,170,9.78205802425534,0.978205802425534,0.3237471294256181,0.024730028426431256,0.0662528705743819,0.0,2,0.5471970915910787,0.0003787364112213254,170,0,0,0,0,0.0,0.0,0.07184361173345036,845.8658307497145
bc_dagger,S2,1000,False,1,0,1,0,,9.449999999999843,189,9.830454581890024,0.9830454581890024,0.10291192065154975,0.16317628997208763,0.28708807934845026,0.0,1,0.7963112546654885,0.000161938471137546,189,0,0,0,0,0.0,14.019484379003497,0.05872090483660546,855.4466712752933
lite_rule_baseline,S2,1000,True,1,0,1,0,,8.299999999999867,166,9.761245329380042,0.9761245329380042,0.39,0.0,0.0,0.0,0,0.0,0.0004686947213485837,166,0,0,0,0,0.0,0.0,0.023533656629691663,887.528487127493
bc,S2,1000,True,1,0,1,0,,8.299999999999867,166,9.79741401935165,0.9797414019351651,0.3598717616418442,0.016188570523218617,0.030128238358155812,0.0,0,0.22852335006173236,0.00019652003538794816,166,0,0,0,0,0.0,0.0,0.05961746981220898,854.9849736675895
ppo,S2,1000,True,1,0,1,0,,8.499999999999863,170,9.78205802425534,0.978205802425534,0.3237471294256181,0.024730028426431256,0.0662528705743819,0.0,2,0.5471970915910787,0.0003787364112213254,170,0,0,0,0,0.0,0.0,0.07209704714007197,845.1497195710137
bc_dagger,S2,1000,True,1,0,1,0,,9.449999999999843,189,9.830454581890024,0.9830454581890024,0.10291192065154975,0.16317628997208763,0.28708807934845026,0.0,1,0.7963112546654885,0.000161938471137546,189,0,0,0,0,0.0,14.019484379003497,0.05882055038503413,854.3119424558682
lite_rule_baseline,S2,1001,False,1,0,1,0,,8.299999999999867,166,9.761245329380042,0.9761245329380042,0.39,0.0,0.0,0.0,0,0.0,0.0004686947213485837,166,0,0,0,0,0.0,0.0,0.023145084420123686,889.2350977524691
bc,S2,1001,False,1,0,1,0,,8.299999999999867,166,9.79741401935165,0.9797414019351651,0.3598717616418442,0.016188570523218617,0.030128238358155812,0.0,0,0.22852335006173236,0.00019652003538794816,166,0,0,0,0,0.0,0.0,0.05890763242794229,856.3095765517926
ppo,S2,1001,False,1,0,1,0,,8.499999999999863,170,9.78205802425534,0.978205802425534,0.3237471294256181,0.024730028426431256,0.0662528705743819,0.0,2,0.5471970915910787,0.0003787364112213254,170,0,0,0,0,0.0,0.0,0.07152520596291116,844.4786927449637
bc_dagger,S2,1001,False,1,0,1,0,,9.449999999999843,189,9.830454581890024,0.9830454581890024,0.10291192065154975,0.16317628997208763,0.28708807934845026,0.0,1,0.7963112546654885,0.000161938471137546,189,0,0,0,0,0.0,14.019484379003497,0.05877314275715786,853.5962094064008
lite_rule_baseline,S2,1001,True,1,0,1,0,,8.299999999999867,166,9.761245329380042,0.9761245329380042,0.39,0.0,0.0,0.0,0,0.0,0.0004686947213485837,166,0,0,0,0,0.0,0.0,0.023451554165127075,886.8133278190824
bc,S2,1001,True,1,0,1,0,,8.299999999999867,166,9.79741401935165,0.9797414019351651,0.3598717616418442,0.016188570523218617,0.030128238358155812,0.0,0,0.22852335006173236,0.00019652003538794816,166,0,0,0,0,0.0,0.0,0.059932457884589174,850.7189015423389
ppo,S2,1001,True,1,0,1,0,,8.499999999999863,170,9.78205802425534,0.978205802425534,0.3237471294256181,0.024730028426431256,0.0662528705743819,0.0,2,0.5471970915910787,0.0003787364112213254,170,0,0,0,0,0.0,0.0,0.07566203537006753,830.5499081720509
bc_dagger,S2,1001,True,1,0,1,0,,9.449999999999843,189,9.830454581890024,0.9830454581890024,0.10291192065154975,0.16317628997208763,0.28708807934845026,0.0,1,0.7963112546654885,0.000161938471137546,189,0,0,0,0,0.0,14.019484379003497,0.06277270898786214,840.7923702000664
lite_rule_baseline,S3,1000,False,1,0,1,0,,8.949999999999854,179,10.162428332882333,0.9744789539138554,0.05728731364171619,0.007670245910164895,0.04633134003427089,0.0,1,1.2416647355706476,0.00210104463621974,179,0,0,0,2,0.0,6.773496319717086,0.025123564223043474,956.7231980353772
bc,S3,1000,False,0,1,1,0,COLLISION_STATIC,10.08999999999983,202,11.191859918761264,1.0731915235943994,-0.003845620511187975,0.14982081413246717,0.29513187698884613,0.0,3,2.0650473423406956,0.0007474081940017641,202,0,0,0,16,0.0,3.679793670281761,0.06171304464107091,933.5890418299832
ppo,S3,1000,False,1,0,1,0,,8.799999999999857,176,10.332842578935082,0.9908200380313363,0.17224035596912057,0.06472324983586221,0.1709487032671782,0.0,1,1.5853704072081012,0.00098051514942199,176,0,0,0,0,0.0,2.5636099455437567,0.07218464773731367,915.56235064786
