policy,shield_enabled,episodes,success_rate,collision_rate,timeout_rate,mean_episode_time,median_episode_time,mean_path_length_ratio,minimum_clearance,mean_cross_track_error,mean_safety_cost,shield_interventions_per_episode,shield_pass_ratio,shield_clamp_ratio,shield_stop_ratio,unsafe_without_shield_per_episode,max_shield_sustained_time,mean_inference_ms,mean_simulation_steps_per_second
bc,False,16,0.75,0.25,0.0,8.306249999999867,8.324999999999868,0.935255062540419,-0.00844755818020726,0.06552322990610193,2.4863092234016024,0,1.0,0.0,0.0,3.25,0.0,0.05996265521905026,955.6966125997585
bc,True,16,0.75,0.125,0.125,9.358749999999889,8.324999999999868,0.9319176093487164,-0.004000864751848798,0.07305146681335122,7.165242827385846,20.375,0.8911882510013351,0.04672897196261682,0.062082777036048066,20.375,6.95,0.06024235728339592,948.0944008966594
bc_dagger,False,16,0.625,0.25,0.125,9.978749999999875,11.049999999999809,0.9381993067149262,-0.011322187759745306,0.8047600522333045,2.3465721604031717,0,1.0,0.0,0.0,3.625,0.0,0.06096471443577096,950.1960161268241
bc_dagger,True,16,0.625,0.0,0.375,13.618749999999887,11.699999999999795,1.0400842809446746,0.030326923354898894,1.1210687029497395,11.827917349997467,36.75,0.8650757228086278,0.039926571821936666,0.09499770536943553,36.75,12.75,0.059550883651263965,946.1208976259355
lite_rule_baseline,False,16,0.875,0.125,0.0,8.141249999999872,8.299999999999867,0.9193797354308406,-0.0023909053802885216,0.004537490444020736,3.088049372320556,0,1.0,0.0,0.0,2.375,0.0,0.023744688216100086,993.2321227738801
lite_rule_baseline,True,16,0.875,0.125,0.0,8.281249999999869,8.399999999999865,0.9167123403558509,-0.001704200539431766,0.004396242153810985,3.4490323216984367,1.75,0.9894339622641509,0.009811320754716982,0.0007547169811320754,1.75,0.30000000000000004,0.02379046360896172,991.2976101908628
ppo,False,16,0.875,0.125,0.0,8.23749999999987,8.549999999999862,0.9235711101104748,-0.008459996128356462,0.04642952957431872,2.1296586196847556,0,1.0,0.0,0.0,2,0.0,0.07261120396628071,941.0094642551326
ppo,True,16,0.875,0.125,0.0,8.323749999999867,8.64999999999986,0.9211084687879952,-0.0029606139644687834,0.046811666642300895,2.2762215273884374,1.5,0.990990990990991,0.0075075075075075074,0.0015015015015015015,1.5,0.30000000000000004,0.07262518977346145,940.9118375498898
