policy,shield_enabled,episodes,success_rate,collision_rate,timeout_rate,mean_episode_time,median_episode_time,mean_path_length_ratio,minimum_clearance,mean_cross_track_error,mean_safety_cost,shield_interventions_per_episode,shield_pass_ratio,shield_clamp_ratio,shield_stop_ratio,unsafe_without_shield_per_episode,max_shield_sustained_time,mean_inference_ms,mean_simulation_steps_per_second
bc,False,16,0.75,0.25,0.0,8.306249999999867,8.324999999999868,0.935255062540419,-0.00844755818020726,0.06552322990610193,2.4863092234016024,0,1.0,0.0,0.0,3.25,0.0,0.060064653385248745,960.482129391509
bc,True,16,0.75,0.125,0.125,9.358749999999889,8.324999999999868,0.9319176093487164,-0.004000864751848798,0.07305146681335122,7.165242827385846,20.375,0.8911882510013351,0.04672897196261682,0.062082777036048066,20.375,6.95,0.06086515937406154,950.1709103697023
bc_dagger,False,16,0.625,0.25,0.125,9.978749999999875,11.049999999999809,0.9381993067149262,-0.011322187759745306,0.8047600522333045,2.3465721604031717,0,1.0,0.0,0.0,3.625,0.0,0.05964958674650216,962.0083712989696
bc_dagger,True,16,0.625,0.0,0.375,13.618749999999887,11.699999999999795,1.0400842809446746,0.030326923354898894,1.1210687029497395,11.827917349997467,36.75,0.8650757228086278,0.039926571821936666,0.09499770536943553,36.75,12.75,0.05964277549354906,950.2917925020572
lite_rule_baseline,False,16,0.875,0.125,0.0,8.141249999999872,8.299999999999867,0.9193797354308406,-0.0023909053802885216,0.004537490444020736,3.088049372320556,0,1.0,0.0,0.0,2.375,0.0,0.023775250651798585,1000.6721600547672
lite_rule_baseline,True,16,0.875,0.125,0.0,8.281249999999869,8.399999999999865,0.9167123403558509,-0.001704200539431766,0.004396242153810985,3.4490323216984367,1.75,0.9894339622641509,0.009811320754716982,0.0007547169811320754,1.75,0.30000000000000004,0.02369289122698079,998.8877416357521
ppo,False,16,0.0,0.125,0.875,17.201249999999987,18.000000000000014,0.584752282315103,-0.0027957328513861235,0.3055199550993551,0.8225749817031063,0,1.0,0.0,0.0,0.5,0.0,0.07181719354819466,941.6621947938934
ppo,True,16,0.0,0.125,0.875,17.198749999999986,18.000000000000014,0.5838474812910985,-0.003914280588389274,0.3054209182426521,0.7865758580223081,0.375,0.9989098837209303,0.0003633720930232558,0.0007267441860465116,0.375,0.15000000000000002,0.071940809661398,940.9076685908313
